"acef:AcceptedTaxonID","acef:DistributionElement","acef:StandardInUse","acef:DistributionStatus"
1,"SPASP","TDWG Level 4 code","native"
1,"ALGOO","TDWG Level 4 code","native"
1,"ITAIT","TDWG Level 4 code","native"
1,"POROO","TDWG Level 4 code","native"
2,"84","TDWG Level 4 code","native"
3,"84","TDWG Level 4 code","native"
4,"84","TDWG Level 4 code","native"
5,"DOMOO","TDWG Level 4 code","native"
6,"HAIHA","TDWG Level 4 code","native"
7,"AFGOO","TDWG Level 4 code","native"
8,"TZKOO","TDWG Level 4 code","native"
9,"CUBOO","TDWG Level 4 code","native"
15,"PANOO","TDWG Level 4 code","native"
16,"TRTOO","TDWG Level 4 code","native"
17,"CNYOO","TDWG Level 4 code","native"
18,"MLYSI","TDWG Level 4 code","native"
20,"SRLOO","TDWG Level 4 code","native"
21,"VIEOO","TDWG Level 4 code","native"
23,"JAWOO","TDWG Level 4 code","native"
24,"PHIOO","TDWG Level 4 code","native"
26,"CHCHU","TDWG Level 4 code","native"
26,"TAIOO","TDWG Level 4 code","native"
26,"IND","TDWG Level 4 code","native"
27,"INDKT","TDWG Level 4 code","native"
28,"BORSB","TDWG Level 4 code","native"
29,"SUMOO","TDWG Level 4 code","native"
30,"PHIOO","TDWG Level 4 code","native"
31,"MLYPM","TDWG Level 4 code","native"
33,"MLYSI","TDWG Level 4 code","native"
33,"ASSAS","TDWG Level 4 code","native"
34,"CNYOO","TDWG Level 4 code","native"
35,"DOMOO","TDWG Level 4 code","native"
39,"REUOO","TDWG Level 4 code","native"
39,"MAUOO","TDWG Level 4 code","native"
40,"JAMOO","TDWG Level 4 code","native"
41,"JAMOO","TDWG Level 4 code","native"
43,"ARIOO","TDWG Level 4 code","native"
43,"ARI","TDWG Level 4 code","native"
44,"HAIHA","TDWG Level 4 code","native"
45,"ARIOO","TDWG Level 4 code","native"
45,"CAL","TDWG Level 4 code","native"
45,"MXNSO","TDWG Level 4 code","native"
45,"UTAOO","TDWG Level 4 code","native"
45,"CALOO","TDWG Level 4 code","native"
45,"MXNBS","TDWG Level 4 code","native"
46,"JAMOO","TDWG Level 4 code","native"
47,"CUBOO","TDWG Level 4 code","native"
48,"MXESL","TDWG Level 4 code","native"
49,"CUBOO","TDWG Level 4 code","native"
50,"79","TDWG Level 4 code","native"
51,"CUBOO","TDWG Level 4 code","native"
52,"JAMOO","TDWG Level 4 code","native"
53,"ARIOO","TDWG Level 4 code","native"
53,"BRCOO","TDWG Level 4 code","native"
53,"NEVOO","TDWG Level 4 code","native"
53,"MXNBC","TDWG Level 4 code","native"
53,"UTAOO","TDWG Level 4 code","native"
53,"CALOO","TDWG Level 4 code","native"
53,"NEV","TDWG Level 4 code","native"
53,"MXNBS","TDWG Level 4 code","native"
53,"NWMOO","TDWG Level 4 code","native"
